"Id","Obs","Rep","Sub","Vic"
1,"KL",1,1.6,4.5
1,"KL",2,1.7,4.4
1,"KL",3,1.7,4.7
3,"KL",1,2.8,6.4
3,"KL",2,2.9,6.2
3,"KL",3,2.8,6.5
5,"KL",1,2.7,3.6
5,"KL",2,2.8,3.9
5,"KL",3,2.9,4
11,"KL",1,3.9,4.3
11,"KL",2,4.1,4.1
11,"KL",3,4.1,4.3
14,"KL",1,2.9,6.1
14,"KL",2,3,6
14,"KL",3,2.9,5.7
18,"KL",1,1.6,2
18,"KL",2,1.6,2.2
18,"KL",3,1.7,2.2
19,"KL",1,1.6,5.5
19,"KL",2,1.6,5.1
19,"KL",3,1.6,5.5
22,"KL",1,1.9,3.9
22,"KL",2,1.9,3.8
22,"KL",3,1.8,4
28,"KL",1,0.61,3.4
28,"KL",2,0.63,3.8
28,"KL",3,0.63,3.9
31,"KL",1,1.7,3.3
31,"KL",2,1.8,2.9
31,"KL",3,1.9,2.9
33,"KL",1,1.7,4.1
33,"KL",2,1.6,4.3
33,"KL",3,1.6,4
35,"KL",1,2.6,6.5
35,"KL",2,2.4,6.2
35,"KL",3,2.4,5.9
36,"KL",1,2.2,3.9
36,"KL",2,2.1,3.5
36,"KL",3,2.1,3.5
37,"KL",1,3.2,5.1
37,"KL",2,3,5.3
37,"KL",3,3.2,5.4
39,"KL",1,0.86,3.5
39,"KL",2,0.77,3.5
39,"KL",3,0.85,3.3
42,"KL",1,1.3,4.6
42,"KL",2,1.1,4.1
42,"KL",3,1.2,4.5
45,"KL",1,1.8,3.4
45,"KL",2,2,3.4
45,"KL",3,1.9,3.9
2,"KL",1,0.83,3
2,"KL",2,0.85,3.1
2,"KL",3,0.77,2.9
4,"KL",1,0.57,2.2
4,"KL",2,0.6,2.2
4,"KL",3,0.73,2.1
6,"KL",1,0.98,3.5
6,"KL",2,0.89,3.3
6,"KL",3,0.92,3
7,"KL",1,1.6,2.4
7,"KL",2,1.6,2.6
7,"KL",3,1.4,2.7
8,"KL",1,1.5,3.8
8,"KL",2,1.4,3.6
8,"KL",3,1.5,4
9,"KL",1,2.3,3.7
9,"KL",2,2.3,4
9,"KL",3,2.4,3.7
10,"KL",1,1,4.3
10,"KL",2,1.2,4.2
10,"KL",3,1.1,3.8
13,"KL",1,1,2.8
13,"KL",2,0.98,3
13,"KL",3,1,3
15,"KL",1,0.67,5
15,"KL",2,0.72,5.2
15,"KL",3,0.71,5.3
16,"KL",1,1.3,4.5
16,"KL",2,1.4,4.3
16,"KL",3,1.4,4.1
17,"KL",1,1.7,3.2
17,"KL",2,1.7,3
17,"KL",3,1.7,3.3
20,"KL",1,1.9,3.2
20,"KL",2,2,3
20,"KL",3,1.9,3
21,"KL",1,1.4,3.5
21,"KL",2,1.3,3
21,"KL",3,1.2,3.4
24,"KL",1,1.9,5.9
24,"KL",2,2,5.8
24,"KL",3,2,5.9
25,"KL",1,1.7,3.8
25,"KL",2,1.8,3.8
25,"KL",3,1.7,3.6
27,"KL",1,1.3,3.8
27,"KL",2,1.2,3.8
27,"KL",3,1.2,3.8
29,"KL",1,2.6,2.7
29,"KL",2,2.7,2.5
29,"KL",3,2.7,2.7
30,"KL",1,1.9,3.8
30,"KL",2,2.1,4.3
30,"KL",3,2,3.7
32,"KL",1,0.46,3.3
32,"KL",2,0.39,2.7
32,"KL",3,0.46,3
34,"KL",1,3.8,5.6
34,"KL",2,3.7,5.5
34,"KL",3,3.9,5.3
38,"KL",1,1.2,4.4
38,"KL",2,1.2,4.2
38,"KL",3,1.2,4.3
40,"KL",1,2.5,4.7
40,"KL",2,2.4,4.6
40,"KL",3,2.4,4.3
41,"KL",1,4.2,5
41,"KL",2,4.2,4.5
41,"KL",3,4.1,5
43,"KL",1,1.6,4.8
43,"KL",2,1.4,4.8
43,"KL",3,1.7,5
44,"KL",1,1.8,4.6
44,"KL",2,2,4.6
44,"KL",3,2,4.7
46,"KL",1,1.8,2.5
46,"KL",2,1.6,3
46,"KL",3,1.6,2.6
1,"SL",1,1.7,4.9
1,"SL",2,1.6,5
1,"SL",3,1.7,4.8
3,"SL",1,2.8,6.5
3,"SL",2,2.7,6.4
3,"SL",3,2.8,6.1
5,"SL",1,3,3.4
5,"SL",2,2.9,3.9
5,"SL",3,2.9,3.6
11,"SL",1,3.5,4.5
11,"SL",2,3.6,4.3
11,"SL",3,3.6,4.2
14,"SL",1,2.8,5.8
14,"SL",2,2.9,5.9
14,"SL",3,2.9,5.9
18,"SL",1,1.6,2.7
18,"SL",2,1.6,2.3
18,"SL",3,1.4,2.4
19,"SL",1,1.5,5.1
19,"SL",2,1.6,5.3
19,"SL",3,1.6,5.6
22,"SL",1,2,4.1
22,"SL",2,2,4.1
22,"SL",3,1.9,4.2
28,"SL",1,0.63,4.2
28,"SL",2,0.64,3.7
28,"SL",3,0.64,3.8
31,"SL",1,1.7,3.5
31,"SL",2,1.7,3.6
31,"SL",3,1.8,3.7
33,"SL",1,1.6,4.5
33,"SL",2,1.5,4.8
33,"SL",3,1.8,4.6
35,"SL",1,2.6,6.5
35,"SL",2,2.5,6.7
35,"SL",3,2.4,6.6
36,"SL",1,2,3.6
36,"SL",2,2,3.5
36,"SL",3,1.9,3.6
37,"SL",1,3.1,5.7
37,"SL",2,3.1,5.6
37,"SL",3,3.2,5.5
39,"SL",1,0.93,3.7
